address,quantity
0x5eda210c390e05d1235835e7d4a511780084b000,1
0x8b9de4fca99d4c95c909a225945497b18c49cd16,1
0x3eff5cedc6bc976d24b58383f47415253afd9052,1
0x3094e92da20e05b1dc4eb68a0970ad8d23a90b33,1
0xee80b0c19ab5f83a149639b8c87df4d18865dfb9,1
0x8270298caf64de076cb632cdcfdaa80257559d6d,1
0x5f64e6ae87c8a35d57f045129f1c90b2aad4d9a6,1
0x64bd67bc509f61d5ee8ca63b2e90aa8a9e2f6b86,1
0x9621de4630a891cd494d316dc7a3099b0dcf5474,1
0xfd80bb57b05ac53916679c1b40e126d6daab2f7a,1
0x65b89b987aba2f4489e786da3d2aa29b769bd910,1
0x9b04fce1ecb14efa25d41b43ed38dbbb57a32738,1
0xe169ed3d5bd2fe7a76928b217047644ea9d736de,1
0xd3377c07bc6f8d382b106eb2d6722a69fec2887a,1
0x4af468ec0c69a043e41e444a6a3f4981dad776da,1
0x64fe5a59d07834e15e22ac1020811a94ba080e20,1
0x900ab1129a3b983f521a9fb6e248366b1409fb19,1
0x52912fba2e24d83a90d0fe49f3708026082717e5,1
0x15d95d0cc6eeb9c8062a4d96b8547cc6ece2c579,1
0x7c2910f47c049484bf11d87992734713cea7c896,1
0xa28ba0d8fefed47fc1accef68faeba3804309480,1
0x05d89702ad4b1c8b816e658ec40b148342c614d4,1
0x117f1389dee487f50ca3480ba7adb2d214b9117e,1
0x887804bd3c919affd7de5f33778124374dd1a289,1
0x4447e0a889fa3703b7f91430df34ad7caf152187,1
0xb7cc24f9aba08c00bd620af3d7f9496f2ddcb8bc,1
0xa84b32b9dc28b6aec1a8f474eb60f3865082d215,1
0x2350c7fb06933b09f882081ba629e795952356cf,1
0x8fada3b0d786b6659d82d9c05028426395852650,1
0x7e59c2e03a87cf422b862bce00cc76ab2c4e8a2c,1
0x212b18f340deab8a5c4fa01ff88d0df8c58301df,1
0xa8525858c72c67ec30290793095c26ab7e9a4721,1
0x4a7de5ed0e8c422d98f732482ef307a1a0c3022a,1
0xa8e45caf77431182127c8df10da2e0d59bf9c507,1
0x7890de1c91fd2e1f1bd9fb96c30114cf93cceca8,1
0xf8f5af3c759ef3ebed83fbe971b2a233f51e517c,1
0x19e06e9bd4b7252547b131dbb015df091fe195d9,1
0x6946ff357fe2625dc928701e6e22cf950cf3054e,1
0xab0671d6c3d789bf926f66be691f6a1bdb70562a,1
0xfcc29e31cf38a3c536e440d9c23c8d137325addb,1
0xfa2e79c83a4681c22e02780367f093b75b76fcf2,1
0x997101c7660db0c2ea36583e6341db23b6beeea1,1
0x1ba0fac06683e4cee5720440b3f0b37a8bab1575,1
0x2c808c70923176650d86e9cca4a4e863cb4f8c62,1
0x1681f6dab7cf97f3434908df9d05eb7895ad3e53,1
0x9b850a64dfd7adc0ab718fa1906561118eb4f497,1
0xcc2cea353dfcb77ff48ea9f4fb97863e9d69470c,1
0x1ed578007756646b4152d330ae137282233af06d,1
0x6f6a09d781fa217ade765aca417961544ee57ed0,1
0x8dfedb1f62820222ec8ff4d68ddcd86b71116d37,1
0x541aa4259b2a63048dbd0168e67dd3a1f67a282b,1
0x47339b7c1fd2fe6dfa959485ca6a3a6e9b383b98,1
0x3600dd43b4f589ce48e707846d33bfb3cee24cfd,1
0x05bccc082af0c969389677a865a5bc4570cb0a23,1
0xe92621a0502b3eddf2240089d0703c398b5b85c7,1
0xf7a8b58e1e13c0b58797b7d5ff629f3684debcd5,1
0x404289fe9e860585b867537c91be231225f69d11,1
0xb14bfa1ffa3311ae0901422fa6566b627afc2d7b,1
0xf09310b47cc796ad7f5c8ea8cf2def2188178fa8,1
0x77ceeb34df72740d9c2cc848f9c7d61720e85a0a,1
0xdc7d0b3b85ea9232161f3d52e66eaf20ed59964e,1
0x75b5e4771a20beb4b2441a8909347d2997332c7b,1
0x9df5b07e22094c00188c27f3859fecd3428eb17d,1
0x29cdbeb50b71e085e6255ec716d23527f0044e60,1
0x000000f7045a8d8f9cf65ae929985bf2cfae2775,1
0x40536224ef670ca321d5dde316061a5625c05137,1
0x06a4d2d2146a027542b7e83c14aed637b8ebff84,1
0xd5ac2c18abf6935ffa1fce042734f91aa78d5c7e,1
0x754f459fdab3baa00b72845ede35101695e519a2 ,1
0x111114763659874226785ab7b7df9e1364be8332,1
0x296432b218ecde0c869d8461b323c6fa2c7392eb,1
